Mass,Intensity,Charge,mz
3059.64661503207,82496.68,2.0,1530.32722003207
2189.20784503207,25866.97,2.0,1095.1078350320702
5449.9358850320705,36364.41,3.0,1817.3171783654034
7813.13910503207,39094.25,5.0,1563.43408103207
6127.27735503207,39011.46,4.0,1532.57520753207
3801.04015503207,53453.27,3.0,1267.6852683654033
6870.59142503207,52617.94,4.0,1718.40372503207
5043.67247503207,61478.99,4.0,1261.67398753207
7925.2149750320705,64753.1,5.0,1585.84925503207
2151.1871550320698,13598.84,2.0,1076.09749003207
6612.46042503207,76071.15,5.0,1323.29834503207
7739.07630503207,63658.73,5.0,1548.62152103207
6414.36371503207,33988.27,5.0,1283.67900303207
7524.9497450320705,120503.38,5.0,1505.79620903207
5103.67920503207,44812.09,4.0,1276.67567003207
2726.4825750320697,64017.55,3.0,909.4994083654033
7582.98345503207,78830.76,5.0,1517.40295103207
4972.63476503207,62172.75,4.0,1243.91456003207
4097.1993850320705,52231.44,3.0,1366.4050116987369
6322.36912503207,48917.74,4.0,1581.34815003207
4081.19658503207,97668.04,3.0,1361.0707450320701
3195.67030503207,18634.13,3.0,1065.8953183654035
4844.5447550320705,27319.71,4.0,1211.89205753207
6782.534125032071,43166.28,4.0,1696.3894000320702
2006.1324250320702,60927.77,2.0,1003.57012503207
6371.34795503207,59012.27,4.0,1593.59285753207
1450.83705503207,26071.96,2.0,725.92244003207
8460.45919503207,39027.17,5.0,1692.8980990320701
3782.00108503207,76657.08,3.0,1261.3389116987369
5527.93499503207,92225.99,4.0,1382.73961753207
3365.76604503207,39678.99,3.0,1122.5938983654034
7424.91972503207,74971.03,5.0,1485.7902050320702
1188.72252503207,10887.51,1.0,1188.72252503207
7211.77075503207,95910.66,5.0,1443.16041103207
6611.453665032071,38807.97,4.0,1653.6192850320701
2647.4038750320697,63034.3,2.0,1324.20585003207
2239.19062503207,24209.41,2.0,1120.09922503207
3753.97487503207,71513.64,3.0,1251.9968416987367
934.55923503207,38606.86,1.0,934.55923503207
4887.54810503207,48113.55,4.0,1222.64289503207
4307.300115032071,18201.58,4.0,1077.5808975320701
2006.13389503207,92174.23,1.0,2006.13389503207
1847.06185503207,26241.39,2.0,924.03484003207
7296.82868503207,84497.44,5.0,1460.17199703207
5322.88005503207,45034.94,3.0,1774.96523503207
5799.113695032071,56369.05,4.0,1450.5342925320701
6165.26081503207,51797.52,4.0,1542.07107253207
1303.7577950320701,20960.17,2.0,652.38281003207
3640.8934850320697,208066.53,3.0,1214.30304503207
3726.9840350320696,50000.47,3.0,1242.99989503207
4860.56013503207,49647.93,4.0,1215.89590253207
7497.95613503207,88373.84,5.0,1500.39748703207
8172.34412503207,41540.47,5.0,1635.2750850320701
7281.79275503207,55753.68,5.0,1457.16481103207
5818.07449503207,42546.19,4.0,1455.27449253207
4533.39774503207,28602.08,4.0,1134.10530503207
5371.81324503207,61734.82,4.0,1343.70918003207
5344.82090503207,52900.97,4.0,1336.96109503207
2411.3090650320696,34844.46,2.0,1206.15844503207
6582.4495650320705,38019.27,4.0,1646.36826003207
1876.08475503207,37643.81,2.0,938.5462900320699
4701.48406503207,22473.28,4.0,1176.12688503207
5543.95932503207,56640.05,4.0,1386.74570003207
1876.08426503207,36300.01,1.0,1876.08426503207
5238.80031503207,26397.18,3.0,1746.93865503207
6103.23896503207,63038.69,4.0,1526.56561003207
7480.92804503207,77140.82,5.0,1496.99186903207
6998.65399503207,53099.28,4.0,1750.41936753207
8215.351605032069,54218.27,6.0,1370.0651216987367
6868.57586503207,63541.03,5.0,1374.52143303207
3499.91543503207,29247.91,2.0,1750.4616300320702
5835.075205032071,35932.07,3.0,1945.696951698737
1220.72134503207,20215.42,2.0,610.86458503207
2147.19668503207,13919.93,1.0,2147.19668503207
6755.54383503207,55916.69,5.0,1351.91502703207
764.44279503207,30593.34,1.0,764.44279503207
4069.2052150320696,101580.31,2.0,2035.10652003207
720.4295750320699,71206.8,1.0,720.4295750320699
7339.840865032071,78742.84,5.0,1468.7744330320702
3238.67692503207,20521.42,3.0,1080.2308583654035
1434.85085503207,12287.88,2.0,717.92934003207
6885.589965032071,58046.66,5.0,1377.92425303207
4963.67361503207,23719.36,3.0,1655.22975503207
1321.7957950320701,11576.68,2.0,661.40181003207
8404.452035032069,28100.11,5.0,1681.69666703207
5110.742475032071,23334.04,3.0,1704.2527083654036
8327.433255032069,33820.44,5.0,1666.29291103207
7298.80878503207,32044.19,4.0,1825.45806503207
7025.660895032071,23991.51,4.0,1757.1710925320701
4179.24365503207,20047.13,4.0,1045.56678253207
2102.17748503207,18077.02,1.0,2102.17748503207
3996.16918503207,47627.55,3.0,1332.7282783654034
4368.31492503207,78597.5,3.0,1456.7768583654033
1775.01367503207,18482.16,2.0,888.01075003207
4731.5209950320705,30305.01,3.0,1577.8455483654034
6256.31255503207,32846.31,4.0,1564.83400753207
1289.7697750320701,10460.27,2.0,645.38880003207
699.4206650320699,17253.79,1.0,699.4206650320699
1921.10338503207,24954.48,1.0,1921.10338503207
4863.600515032071,28264.69,3.0,1621.8720550320702
1478.86439503207,10077.17,2.0,739.9361100320699
7125.70512503207,30808.83,4.0,1782.18215003207
1947.11839503207,19278.37,1.0,1947.11839503207
7512.93503503207,24906.67,4.0,1878.98962753207
1188.72304503207,12171.07,2.0,594.86543503207
6212.30768503207,34998.76,4.0,1553.83279003207
4674.49684503207,35251.63,4.0,1169.38008003207
6482.41225503207,26185.37,5.0,1297.28871103207
6684.46753503207,54273.59,5.0,1337.69976703207
747.4164250320699,11541.89,1.0,747.4164250320699
3544.91106503207,13246.0,3.0,1182.30890503207
3522.84682503207,33831.55,3.0,1174.9541583654034
1264.73458503207,9625.6,2.0,632.87120503207
1249.71507503207,9877.81,2.0,625.3614500320699
5058.68150503207,23902.71,4.0,1265.42624503207
6755.54240503207,21591.68,4.0,1689.64147003207
2439.30168503207,37040.96,2.0,1220.1547550320702
1820.07121503207,25900.21,2.0,910.53952003207
7252.780525032071,46257.04,5.0,1451.36236503207
5763.09232503207,21810.51,3.0,1921.7026583654033
4368.3149150320705,19471.73,4.0,1092.8345975320701
1647.97328503207,15467.99,2.0,824.4905550320699
4659.48128503207,21561.5,4.0,1165.62619003207
5869.13746503207,53193.31,4.0,1468.04023503207
6885.5912350320705,25095.51,4.0,1722.15367753207
1017.5957350320699,38582.82,1.0,1017.5957350320699
804.4688450320699,19272.34,1.0,804.4688450320699
3300.82368503207,16023.94,3.0,1100.9464450320702
5808.08599503207,20694.16,3.0,1936.7005483654034
1577.92309503207,25379.53,2.0,789.4654600320699
7312.851885032071,52399.6,5.0,1463.3766370320702
3238.67696503207,21549.47,2.0,1619.84239503207
6228.32681503207,20931.21,5.0,1246.47162303207
1605.92419503207,50458.08,2.0,803.4660100320699
592.3357350320699,16283.14,1.0,592.3357350320699
7239.78991503207,20597.72,4.0,1810.70334753207
6510.42214503207,26339.92,4.0,1628.36140503207
6669.48364503207,30796.05,4.0,1668.12678003207
7195.78076503207,74654.33,5.0,1439.9624130320701
3612.89745503207,47890.13,3.0,1204.9710350320702
6213.30855503207,32247.73,5.0,1243.46797103207
2034.1292750320702,28181.61,1.0,2034.1292750320702
2840.5057450320696,16471.01,3.0,947.5071316987365
2031.1630550320701,31565.36,2.0,1016.08544003207
8355.464945032068,62286.14,6.0,1393.41734503207
7468.92451503207,87909.29,5.0,1494.59116303207
2668.45866503207,15479.29,3.0,890.1581050320699
6499.422055032071,21654.65,5.0,1300.6906710320702
2761.44512503207,66136.1,2.0,1381.22647503207
4815.54188503207,24856.29,4.0,1204.64134003207
7126.70545503207,130568.79,5.0,1426.14735103207
1048.62898503207,9769.57,1.0,1048.62898503207
8078.278365032071,41533.86,6.0,1347.2195816987369
4930.65532503207,21526.49,3.0,1644.2236583654035
8256.37662503207,41775.71,6.0,1376.90262503207
4994.69688503207,24746.33,3.0,1665.5708450320699
6739.52166503207,45507.97,5.0,1348.71059303207
6927.63470503207,31005.93,6.0,1155.4456383654033
6343.35301503207,23365.73,4.0,1586.59412253207
493.26828503207,22246.06,1.0,493.26828503207
2080.15386503207,28360.51,2.0,1040.58084503207
